actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
435859.0,2171848.75,2133047.288456113,-1735989.75,-1697188.288456113
545903.0,1420615.0,1311593.2620630616,-874712.0,-765690.2620630616
588416.0,2677962.75,2700958.9727273993,-2089546.75,-2112542.9727273993
586368.0,1010340.875,1021496.4172711561,-423972.875,-435128.4172711561
17870115.0,15205505.0,15354494.740905344,2664610.0,2515620.2590946555
2978118.0,2249955.25,1930635.2206426356,728162.75,1047482.7793573644
715691.0,1532002.875,1536412.4854578455,-816311.875,-820721.4854578455
66548360.0,30431186.0,30246030.738316506,36117174.0,36302329.261683494
1287769.0,2464574.5,2304281.8887635786,-1176805.5,-1016512.8887635786
1902590.0,2013634.0,1998037.4947649632,-111044.0,-95447.49476496316
760590.0,-554377.5,-625171.7543334458,1314967.5,1385761.7543334458
2607258.0,2685512.75,2603922.3810248384,-78254.75,3335.618975161575
2617668.0,2489284.75,2403798.180260889,128383.25,213869.81973911077
2549486.0,2351478.5,2377590.1335068047,198007.5,171895.8664931953
2617465.0,2847639.75,2853720.8279633513,-230174.75,-236255.82796335127
2621950.0,2636337.75,2553863.3765357477,-14387.75,68086.62346425233
2785313.0,2923985.25,2847275.1144593614,-138672.25,-61962.114459361415
2781046.0,2358368.25,2380737.5789414784,422677.75,400308.4210585216
2732386.0,2153001.75,2172260.9242906873,579384.25,560125.0757093127
2807665.0,3732038.75,3750851.486226057,-924373.75,-943186.4862260572
1990790.0,2182575.75,2091078.8539690995,-191785.75,-100288.85396909947
7697066.0,8855097.0,8809432.140843851,-1158031.0,-1112366.1408438515
7665897.0,7403161.5,7414611.398565435,262735.5,251285.60143456515
7616515.0,7750895.0,7769303.514686475,-134380.0,-152788.51468647458
7931531.0,10368887.0,10377363.160937872,-2437356.0,-2445832.160937872
8418213.0,9522177.0,9503293.366896195,-1103964.0,-1085080.3668961953
8748779.0,11438432.0,11396849.937020814,-2689653.0,-2648070.937020814
9342370.0,11515571.0,11477945.183255289,-2173201.0,-2135575.1832552887
9649485.0,10476831.0,10443001.77838622,-827346.0,-793516.7783862203
10224100.0,10350502.0,10285456.196739929,-126402.0,-61356.1967399288
9833991.0,10869766.0,10838904.927135266,-1035775.0,-1004913.9271352664
10850917.0,10946027.0,10912483.047849892,-95110.0,-61566.04784989171
11382773.0,10789326.0,10751256.544241771,593447.0,631516.4557582289
12233335.0,10789326.0,10749805.772676729,1444009.0,1483529.2273232713
12679225.0,10956920.0,10918110.592774257,1722305.0,1761114.407225743
13440328.0,11031380.0,11115366.366074337,2408948.0,2324961.6339256633
